,shading60,move_sequence,shading_move_0,shading_move_1,shading_move_2,shading_move_3,shading_move_4,shading_move_5,shading_move_6,shading_move_7,shading_move_8,shading_move_9,shading_move_10,shading_move_11,shading_move_12,read_sequence
SPC_3627,26.5,0001001010110,26.5,24.1,26.5,24.6,24.1,26.5,22.0,24.1,24.6,24.1,24.6,22.0,24.1,0100101101011
SPC_3628,25.6,0000001010110,25.6,23.2,25.6,25.6,25.6,25.6,23.7,23.2,23.7,23.2,20.9,23.7,25.6,0100000101100
SPC_3629,25.7,0001011010101,25.7,23.3,23.3,21.0,23.3,23.8,23.8,23.3,23.8,25.7,23.8,25.7,21.0,0111100100001
SPC_3630,23.1,0000000111011,23.1,23.1,20.4,20.4,20.4,23.1,20.4,21.0,21.0,17.9,20.4,17.9,17.9,0011101001111
SPC_3631,23.4,0111011010101,23.4,18.3,18.3,18.3,20.8,18.3,21.4,20.8,18.3,20.8,21.4,20.8,21.4,0111110111010
SPC_3632,24.7,0110110000001,24.7,22.7,22.7,24.7,22.7,19.9,22.2,24.7,22.2,22.2,22.2,22.2,22.7,0000011011110
SPC_3633,28.2,0001101010100,28.2,26.1,28.2,24.1,24.1,28.2,24.1,26.1,26.5,28.2,24.1,28.2,28.2,0101101100100
SPC_3634,25.1,0110010100111,25.1,23.2,23.2,25.1,25.1,20.3,25.1,23.2,25.1,22.6,23.2,20.3,23.2,0000010001010
SPC_3635,24.7,0000101000010,24.7,22.2,24.7,24.7,19.9,24.7,19.9,22.2,22.2,24.7,22.2,22.7,24.7,0100101110100
SPC_3636,28.3,0011101110111,28.3,28.3,26.6,26.6,24.2,28.3,26.6,26.6,26.6,28.3,26.6,26.6,26.6,0000100000000
SPC_3637,25.2,0100100010100,25.2,23.3,22.7,22.7,20.5,22.7,25.2,22.7,23.3,25.2,23.3,25.2,25.2,0011110100000
SPC_3638,25.1,0001000110111,25.1,25.1,25.1,23.2,25.1,25.1,25.1,20.4,23.2,22.6,23.2,23.2,20.4,0000000101001
SPC_3639,25.8,0110001000110,25.8,21.1,23.9,23.4,25.8,25.8,21.1,25.8,25.8,23.4,21.1,23.9,25.8,0101001001100
SPC_3640,27.4,0111100000110,27.4,23.1,25.6,23.1,25.6,27.4,25.1,27.4,25.1,25.1,23.1,23.1,25.1,0101001011111
SPC_3641,26.4,0001101010111,26.4,26.4,24.1,21.9,24.6,26.4,21.9,24.1,24.6,26.4,21.9,21.9,24.6,0011001100110
SPC_3642,26.1,0110101100001,26.1,21.5,21.5,23.7,24.2,26.1,21.5,21.5,23.7,26.1,23.7,26.1,21.5,0111001110101
SPC_3643,27.4,0010101011100,27.4,27.4,23.1,27.4,23.1,25.2,23.1,27.4,23.1,25.7,23.1,25.2,27.4,0010111010110
SPC_3644,25.2,0110100000110,25.2,20.5,23.3,25.2,23.3,25.2,22.8,22.8,22.8,25.2,20.5,23.3,25.2,0100001110100
SPC_3645,25.3,0011100001010,25.3,25.3,23.4,23.4,20.6,22.9,25.3,25.3,25.3,20.6,25.3,20.6,22.9,0000110001011
SPC_3646,27.0,0111100111001,27.0,22.6,22.6,25.2,25.2,27.0,24.7,22.6,22.6,25.2,27.0,27.0,25.2,0110001110000
SPC_3647,22.4,0111010010110,22.4,20.2,17.1,17.1,22.4,17.1,19.6,22.4,17.1,19.6,20.2,17.1,22.4,0011011011010
SPC_3648,25.0,0110110000111,25.0,20.2,23.1,22.5,20.2,20.2,22.5,25.0,22.5,25.0,23.1,23.1,20.2,0101111010001
SPC_3649,27.6,0110001001000,27.6,25.9,23.3,25.4,25.4,25.4,23.3,25.4,25.4,25.9,25.4,25.4,25.4,0011111110111
SPC_3650,23.2,0001011011111,23.2,23.2,23.2,21.1,20.5,21.1,18.1,20.5,18.1,21.1,21.1,18.1,21.1,0000101110010
SPC_3651,25.8,0000010000110,25.8,25.8,23.4,23.4,23.4,21.2,25.8,25.8,23.4,25.8,24.0,21.2,25.8,0011110010010
SPC_3652,25.2,1000001000101,23.2,22.7,25.2,22.7,25.2,22.7,23.2,25.2,25.2,25.2,23.2,25.2,20.4,0101010000001
SPC_3653,26.9,0001000101011,26.9,26.9,26.9,22.5,24.6,26.9,26.9,22.5,26.9,22.5,26.9,25.1,22.5,0001100101001
SPC_3654,26.3,0001010010001,26.3,24.0,26.3,24.5,24.0,24.5,24.0,24.0,21.8,24.0,24.0,26.3,24.5,0100101111100
SPC_3655,24.9,0001111110010,24.9,22.4,24.9,22.9,22.9,20.1,20.1,22.9,20.1,22.4,22.4,22.9,24.9,0100011011100
SPC_3656,25.3,0100100000010,25.3,23.4,22.9,22.9,20.6,22.9,25.3,22.9,25.3,25.3,22.9,20.6,25.3,0011110100110
